graph,n,m,algorithm,median_ms,check,notes
random d=5,262144,1310720,chd t0=4 (new),382.706,ok,"N'=260397 k=2 t=4 L=5 relax/m=1.00 del=6826 pre=107ms formal=C-HD"
random d=8,262144,2097152,dijkstra-csr (new),223.236,ok,""
random d=8,262144,2097152,dijkstra (repo),247.108,ok,""
random d=8,262144,2097152,dijkstra-4ary (new),179.468,ok,""
random d=8,262144,2097152,improved-v1 (repo),212.082,ok,""
random d=8,262144,2097152,improved-v2 (repo),218.973,ok,""
random d=8,262144,2097152,core (repo),374.547,ok,""
random d=8,262144,2097152,dmm25 (new),6364.320,ok,"N'=4194304 k=2 t=7 L=4 relax/m=20.58 pre=215ms"
random d=8,262144,2097152,chd t0=16 (new),475.823,ok,"N'=262062 k=4 t=16 L=2 relax/m=1.00 del=0 pre=149ms formal=C-HD"
random d=8,262144,2097152,chd t0=4 (new),495.577,ok,"N'=262062 k=2 t=4 L=5 relax/m=1.00 del=7219 pre=151ms formal=C-HD"
random d=16,262144,4194304,dijkstra-csr (new),305.348,ok,""
random d=16,262144,4194304,dijkstra (repo),309.932,ok,""
random d=16,262144,4194304,dijkstra-4ary (new),180.273,ok,""
random d=16,262144,4194304,improved-v1 (repo),261.145,ok,""
random d=16,262144,4194304,improved-v2 (repo),277.377,ok,""
random d=16,262144,4194304,core (repo),506.881,ok,""
random d=16,262144,4194304,dmm25 (new),12959.763,ok,"N'=8388608 k=2 t=8 L=3 relax/m=17.37 pre=417ms"
random d=16,262144,4194304,chd t0=16 (new),796.503,ok,"N'=262144 k=4 t=16 L=2 relax/m=1.00 del=0 pre=389ms formal=Bellman-Ford"
random d=16,262144,4194304,chd t0=4 (new),734.836,ok,"N'=262144 k=2 t=4 L=5 relax/m=1.00 del=12158 pre=334ms formal=Bellman-Ford"
random d=2,1048576,2097152,dijkstra-csr (new),474.327,ok,""
random d=2,1048576,2097152,dijkstra (repo),448.680,ok,""
random d=2,1048576,2097152,dijkstra-4ary (new),579.402,ok,""
random d=2,1048576,2097152,dmm25 (new),6427.034,ok,"N'=4194304 k=2 t=7 L=4 relax/m=18.11 pre=274ms"
random d=2,1048576,2097152,chd t0=16 (new),1193.823,ok,"N'=906530 k=4 t=16 L=2 relax/m=0.80 del=0 pre=292ms formal=C-HD"
random d=2,1048576,2097152,chd t0=4 (new),1240.879,ok,"N'=906530 k=3 t=5 L=4 relax/m=0.80 del=21197 pre=287ms formal=C-HD"
random d=5,1048576,5242880,dijkstra-csr (new),1210.487,ok,""
random d=5,1048576,5242880,dijkstra (repo),1025.009,ok,""
random d=5,1048576,5242880,dijkstra-4ary (new),1169.298,ok,""
random d=5,1048576,5242880,dmm25 (new),19524.304,ok,"N'=10485760 k=2 t=8 L=3 relax/m=17.54 pre=589ms"
random d=5,1048576,5242880,chd t0=16 (new),1938.786,ok,"N'=1041535 k=4 t=16 L=2 relax/m=0.99 del=0 pre=525ms formal=C-HD"
random d=5,1048576,5242880,chd t0=4 (new),2173.098,ok,"N'=1041535 k=2 t=4 L=5 relax/m=1.00 del=95967 pre=519ms formal=C-HD"
random d=9,1048576,9437184,dijkstra-csr (new),1844.691,ok,""
random d=9,1048576,9437184,dijkstra (repo),1527.156,ok,""
random d=9,1048576,9437184,dijkstra-4ary (new),1395.039,ok,""
random d=9,1048576,9437184,dmm25 (new),40794.937,ok,"N'=18874368 k=2 t=8 L=4 relax/m=20.35 pre=1115ms"
random d=9,1048576,9437184,chd t0=16 (new),2749.275,ok,"N'=1048438 k=4 t=16 L=2 relax/m=1.00 del=0 pre=1025ms formal=C-HD"
random d=9,1048576,9437184,chd t0=4 (new),2889.127,ok,"N'=1048438 k=2 t=4 L=5 relax/m=1.00 del=86281 pre=947ms formal=C-HD"
random d=16,1048576,16777216,dijkstra-csr (new),2755.872,ok,""
random d=16,1048576,16777216,dijkstra (repo),2286.683,ok,""
random d=16,1048576,16777216,dijkstra-4ary (new),1745.091,ok,""
random d=16,1048576,16777216,dmm25 (new),82267.945,ok,"N'=33554432 k=2 t=8 L=4 relax/m=20.12 pre=1826ms"
random d=16,1048576,16777216,chd t0=16 (new),3723.569,ok,"N'=1048576 k=4 t=16 L=2 relax/m=1.00 del=0 pre=1491ms formal=Bellman-Ford"
random d=16,1048576,16777216,chd t0=4 (new),4185.382,ok,"N'=1048576 k=2 t=4 L=6 relax/m=1.00 del=118660 pre=1631ms formal=Bellman-Ford"
